カード名,仕様,R,型番,タイプ,21-01-25,21-01-26,21-01-27
ポンチョを着たピカチュウ,,P,230/XY-P,雷,"27,000","27,000","27,000"
ポンチョを着たピカチュウ,未開封,P,230/XY-P,雷,"55,000","55,000","55,000"
ポンチョを着たピカチュウ,,P,231/XY-P,雷,"27,000","27,000","27,000"
ポンチョを着たピカチュウ,,P,274/XY-P,雷,"5,000","5,000","5,000"
ポンチョを着たピカチュウ,,P,275/XY-P,雷,"5,000","5,000","5,000"
マスクド・ピカチュウ,,P,247/XY-P,雷,"6,500","6,500","6,500"
マスクド・ピカチュウ,未開封,P,247/XY-P,雷,"9,000","9,000","9,000"
マリオピカチュウ,,P,293/XY-P,雷,"35,000","35,000","35,000"
マリオピカチュウ,,P,294/XY-P,雷,"110,000","110,000","110,000"
マリオピカチュウ,未開封,P,294/XY-P,雷,"160,000","160,000","160,000"
メガトウキョーのピカチュウ,,P,098/XY-P,雷,"7,500","7,500","7,500"
メガトウキョーのピカチュウ,,P,204/XY-P,雷,"55,000","55,000","55,000"
ルイージピカチュウ,,P,295/XY-P,雷,"30,000","30,000","30,000"
ルイージピカチュウ,,P,296/XY-P,雷,"80,000","80,000","80,000"
ルイージピカチュウ,未開封,P,296/XY-P,雷,"120,000","120,000","120,000"
火消し姿のピカチュウ,,P,209/SM-P,雷,"6,000","6,000","6,000"
袴姿のピカチュウ,,P,208/SM-P,雷,"6,000","6,000","6,000"
火消し姿のピカチュウ,未開封,P,209/SM-P,雷,"13,000","13,000","14,000"
桜アフロのピカチュウ,,P,211/SM-P,雷,"3,500","3,500","3,500"
紳士風のピカチュウ,,P,210/SM-P,雷,"9,000","9,000","9,000"
団員ごっこピカチュウ,,P,014/SM-P,雷,"3,500","3,500","3,500"
日本代表のピカチュウ,,P,050/XY-P,雷,"6,000","6,000","6,000"
日本代表のピカチュウ,未開封,P,050/XY-P,雷,"7,000","7,000","7,000"
そらをとぶピカチュウ,,P,旧裏,雷,600,600,600
ピカチュウ,ポケキュン仕様,P,XY-P,雷,"7,000","7,000","7,000"
_のピカチュウ LV.17,セカンドアニバーサリースペシャルカード,P,旧裏,雷,"30,000","30,000","30,000"
_のピカチュウ LV.17,ポケモンカードになったわけ6,P,旧裏,雷,"30,000","30,000","30,000"
オーヤマのピカチュウ,,P,旧裏,雷,"8,000","8,000","8,000"
ピチュー,,P,045/P,雷,"1,500","1,500","1,500"
ピカチュウM,,P,043/DPt-P,雷,"8,000","8,000","8,000"
ピカチュウ,,P,044/P,雷,"3,000","3,000","3,000"
ピカチュウ,でんじは,-,004/015,雷,"1,300","1,300","1,300"
ピカチュウ,ミラー,-,004/015,雷,"1,300","1,300","1,300"
ピカチュウ,かじる,-,004/015,雷,"1,300","1,300","1,300"
レッドのピカチュウ,,P,270/SM-P,雷,"3,200","3,200","3,500"
ピカチュウ,,P,227/SM-P,雷,800,800,800
ポケパークのピカチュウ,,P,043/PCG-P,雷,"2,500","2,500","2,500"
ポケパークのピカチュウ,未開封,P,043/PCG-P,雷,"3,500","3,500","3,500"
ポケパークのピカチュウ,,P,004/009,雷,"1,800","1,800","1,800"
ヨコハマのピカチュウ,,P,280/SM-P,雷,"4,500","4,500","5,000"
ヨコハマのピカチュウ,,P,281/SM-P,雷,"4,500","4,500","5,000"
ヨコハマのピカチュウ,未開封,P,280/SM-P,雷,"10,000","10,000","12,000"
ヨコハマのピカチュウ,,P,282/SM-P,雷,"3,500","3,500","3,500"
ヨコハマのピカチュウ,,P,283/SM-P,雷,"3,500","3,500","3,500"
ピッチのピカチュウ,小学生以下,P,XY-P,雷,"3,000","3,000","3,000"
ピッチのピカチュウ,小学生以下/未開封,P,XY-P,,"4,500","4,500","4,500"
ピカチュウ,,P,291/SM-P,雷,"1,700","1,700","1,700"
ピカチュウ,,-,018/051,雷,10,10,10
ピカチュウ,,C,014/055,雷,10,10,10
おかいものピカチュウ,,P,079/L-P,雷,"4,000","4,000","4,000"
ピカチュウ,,P,242/SM-P,雷,900,900,900
名探偵ピカチュウ,,U,014/024,雷,30,30,30
名探偵ピカチュウ,,P,337/SM-P,雷,"2,700","2,700","2,700"
名探偵ピカチュウ,未開封,P,337/SM-P,,"3,500","3,500","3,500"
名探偵ピカチュウ,,P,338/SM-P,雷,"5,500","5,500","5,500"
名探偵ピカチュウ,,P,339/SM-P,雷,700,700,700
ピカチュウ,,P,367/SM-P,雷,500,500,500
ピカチュウ,,P,249/SM-P,雷,300,300,300
ピカチュウ,,P,307/SM-P,雷,"1,000","1,000","1,000"
ピカチュウ,未開封,P,307/SM-P,雷,"1,200","1,200","1,400"
ピカチュウ,,P,276/SM-P,雷,"1,500","1,500","1,500"
ピカチュウ,未開封,P,276/SM-P,雷,"3,500","3,500","3,500"
お茶会ごっこピカチュウ,,P,325/SM-P,雷,"3,000","3,200","3,200"
ピカチュウ,,C,009/054,雷,30,30,30
海で遊ぶピカチュウ,,P,392/SM-P,雷,"1,500","1,500","1,500"
ピカチュウ,,P,376/SM-P,雷,800,800,800
ピカチュウ,,P,377/SM-P,雷,250,250,250
ピカチュウ,,P,262/SM-P,雷,"1,000","1,000","1,000"
ピカチュウ,,P,369/SM-P,雷,"3,000","3,000","3,000"
ピカチュウ,未開封,P,369/SM-P,雷,"4,000","4,000","4,000"
ピカチュウ,,CHR,054/049,雷,"1,800","1,800","1,800"
漫才ごっこピカチュウ,,P,407/SM-P,雷,"2,500","2,500","2,500"
ピカチュウ,,P,001/S-P,雷,"13,000","13,000","13,000"
シブヤのピカチュウ,,P,002/S-P,雷,"3,200","3,200","3,400"
ピカチュウ,ミラー,-,001/024,雷,400,400,400
ピカチュウ,,P,024/S-P,雷,500,500,600
救助隊DXのピカチュウ,,P,036/S-P,雷,"5,000","5,000","5,000"
名探偵ピカチュウ,,P,099/S-P,雷,"2,500","2,500","2,500"
ピカチュウ,,P,124/S-P,雷,800,800,800
ピカチュウ,,P,125/S-P,雷,30,30,30
ピカチュウ,,P,126/S-P,雷,50,50,50
ピカチュウ,,P,132/S-P,雷,400,400,400
まるのみされたピカチュウ,,P,105/S-P,雷,"11,000","15,000","15,000"
カナザワのピカチュウ,,P,147/S-P,雷,"11,000","11,000","11,000"
カナザワのピカチュウ,未開封,P,147/S-P,雷,"17,000","17,000","17,000"
カナザワのピカチュウ,,P,144/S-P,雷,"3,400","3,400","3,600"
ハッサムGX,,HR,082/066,鋼,"1,700","1,700","2,000"
ハッサムGX,,SR,071/066,鋼,600,600,600
ジュカインGX,,SR,051/050,草,50,50,50
ジュカインGX,,HR,057/050,草,200,200,200
タマタマ,,UR,083/076,草,"10,000","10,000","10,000"
ダーテングGX,,SR,097/096,草,50,50,50
ダーテングGX,,HR,105/096,草,100,100,100
ビリジオンGX,,HR,067/060,草,200,200,200
ビリジオンGX,,SR,061/060,草,50,50,50
ツボツボGX,,SR,096/095,草,50,50,50
ツボツボGX,,HR,104/095,草,100,100,100
グソクムシャGX,,HR,058/051,草,400,400,400
グソクムシャGX,,SR,052/051,草,250,250,250
カプ・ブルルGX,,HR,058/049,草,"1,300","1,300","1,300"
カプ・ブルルGX,,SR,050/049,草,"1,000","1,000","1,000"
ジュナイパーGX,,HR,059/051,草,"1,300","1,300","1,300"
ジュナイパーGX,,SR,052/051,草,400,400,400
フェローチェGX,,HR,121/114,草,500,500,500
フェローチェGX,,SR,115/114,草,150,150,150
ラランテスGX,,HR,067/060,草,800,800,800
ラランテスGX,,SR,061/060,草,200,200,200
ジュカインEX,,SR,082/081,草,"1,400","1,400","1,400"
MジュカインEX,,SR,083/081,草,"1,000","1,000","1,000"
シェイミEX,,P,212/XY-P,草,"10,000","10,000","10,000"
シェイミEX,未開封,P,212/XY-P,草,"18,000","18,000","18,000"
シェイミ,,P,225/SM-P,草,300,300,300
アマージョGX,,P,065/SM-P,草,800,800,800
ハッサムGX,,RR,041/066,鋼,30,30,30
アローラナッシー,,P,201/SM-P,草,150,150,150
ジュカイン,,P,228/SM-P,草,200,200,200
タマタマ,,C,001/051,草,100,100,100
タマタマ,,-,001/048,草,100,100,100
ラフレシア,,U,003/081,草,30,30,30
ラフレシア,,-,003/171,草,30,30,30
ラフレシア,ミラー,-,003/171,草,100,100,100
ラフレシア,,R,003/051,草,50,100,100
シェイミ◇,,PR,006/150,草,10,10,10
シェイミ◇,,PR,011/173,草,10,10,10
モクロー,,-,001/026,草,200,200,200
モクロー,ポケモンカードフェスタ2017,P,062/SM-P,草,100,100,100
モクロー,,P,292/SM-P,草,30,30,30
モクロー,,P,204/SM-P,草,50,50,50
モクロー,,-,001/004,草,30,30,30
ジュナイパーGX,,RR,003/051,草,50,50,50
ジュナイパーGX,RR仕様,-,004/059,草,50,50,50
ラランテスGX,,RR,006/060,草,10,10,10
アギルダー,,U,007/069,草,50,50,50
ジュカインEX,,-,163/XY-P,草,30,30,30
ホウオウEX,,SR,051/050,炎,"5,000","5,000","5,000"
ホウオウEX,,SR,088/080,無,"2,500","2,500","2,500"
ホウオウGX,,HR,059/051,炎,"4,000","4,000","4,000"
ホウオウGX,,SR,053/051,炎,"1,400","1,400","1,400"
ロコン,,P,146/SM-P,炎,"1,500","1,500","1,500"
ロコン,未開封,P,146/SM-P,炎,"6,500","6,500","6,500"
エンニュートGX,,HR,059/049,炎,"1,000","1,000","1,000"
エンニュートGX,,SR,051/049,炎,300,300,300
ガオガエンGX,,HR,060/051,炎,800,800,800
ガオガエンGX,,SR,053/051,炎,400,400,400
ガオガエンGX,,SR,055/052,悪,50,50,50
ガオガエンGX,,HR,061/052,悪,100,100,100
バクガメスGX,,HR,056/050,炎,200,200,200
バクガメスGX,,SR,051/050,炎,200,200,200
エンテイGX,,HR,078/072,炎,"2,000","2,000","2,000"
エンテイGX,,SR,073/072,炎,700,700,900
ボルケニオンEX,,UR,059/054,炎水,"2,300","2,300","2,300"
ボルケニオンEX,,SR,055/054,炎水,800,800,800
バクーダEX,,SR,072/070,炎,600,600,600
ヘルガーEX,,SR,060/059,炎,"1,400","1,400","1,400"
MヘルガーEX,,SR,061/059,炎,"1,400","1,400","1,400"
ブースターEX,,RR,007/032,炎,"3,500","3,500","3,500"
ブースターEX,ポケキュン仕様,RR,006/032,炎,"1,500","1,500","1,500"
ニャビー,,P,059/SM-P,炎,700,700,700
ニャビー,,P,259/SM-P,炎,200,200,200
リザードン,,R,003/053,炎,500,500,600
バクフーン,,P,265/SM-P,炎,500,500,500
レシラムGX,,HR,060/053,炎,"2,500","2,500","2,500"
レシラムGX,,SR,054/053,炎,600,600,600
バシャーモGX,,SR,098/096,炎,200,200,200
バシャーモGX,,HR,106/096,炎,400,400,400
マグカルゴGX,,HR,068/060,炎,200,200,200
マグカルゴGX,,SR,062/060,炎,50,50,50
ズガドーンGX,,SR,097/095,炎,50,50,50
ズガドーンGX,,HR,105/095,炎,300,300,300
ヒトカゲ,,P,112/SM-P,炎,30,30,30
ヒトカゲ,,C,009/051,炎,10,10,10
バクフーン,,R,019/095,炎,10,10,10
レシラムGX,,RR,008/053,炎,30,30,30
ビクティニ◇,,PR,004/053,炎,10,10,10
ビクティニ◇,,PR,021/173,炎,10,10,10
ボルケニオン◇,,PR,027/094,水,30,30,30
ボルケニオン◇,,PR,037/173,水,30,30,30
ホウオウEX,,R,009/050,炎,100,100,100
ホウオウEX,,-,002/048,炎,100,100,100
ホウオウEX,,RR,068/080,無,150,150,150
ホウオウGX,,RR,012/051,炎,200,200,250
ホウオウGX,,RR,013/114,炎,200,200,250
エンテイGX,,RR,011/072,炎,100,100,100
ニャビー,,P,063/SM-P,炎,150,150,150
ブースター,ミラー,-,010/171,炎,50,50,50
MバクーダEX,,-,013/171,炎,30,30,30
MバクーダEX,SR仕様,-,172/171,炎,400,400,400
ヘルガーEX,,RR,009/059,炎,30,30,30
MヘルガーEX,,RR,010/059,炎,30,30,30
キュウコンEX,,P,193/XY-P,炎,50,50,50
ギャラドス,,P,XY-P,水,"35,000","35,000","35,000"
ギャラドスGX,,HR,056/050,水,"2,700","2,700","2,700"
ギャラドスGX,,SR,051/050,水,800,800,800
ラプラスGX,,HR,067/060,水,"1,100","1,300","1,300"
ラプラスGX,,SR,061/060,水,300,300,300
アローラロコン,,P,147/SM-P,水,"2,500","2,500","2,500"
アローラキュウコンGX,,HR,057/050,水,"1,200","1,200","1,200"
アローラキュウコンGX,,SR,052/050,水,800,800,800
アシレーヌGX,,HR,061/051,水,"1,800","1,800","1,800"
アシレーヌGX,,SR,054/051,水,500,500,500
カプ・レヒレ,,Ｐ,153/SM-P,水,200,200,200
カプ・レヒレGX,,HR,060/049,水,"1,800","1,800","2,200"
カプ・レヒレGX,,SR,052/049,水,800,800,"1,200"
ヨワシGX,,HR,056/050,水,200,200,200
ヨワシGX,,SR,051/050,水,50,50,50
カイオーガEX,,SR,054/052,水,"3,000","3,000","3,000"
ガマゲロゲEX,,SR,098/096,水,600,600,600
グレイシアEX,,SR,079/078,水,"3,800","3,800","3,800"
ゲッコウガ,,P,XY-P,悪,"2,200","2,200","2,200"
サトシゲッコウガEX,,P,290/XY-P,水,"4,000","4,000","4,000"
サトシゲッコウガEX,,P,218/XY-P,水,800,800,800
ホエルオーEX,,SR,071/070,水,"1,800","1,800","1,800"
マナフィEX,,SR,083/080,水,"1,200","1,200","1,200"
パルキアEX,,SR,081/076,水,"1,500","1,500","1,500"
MギャラドスEX,,RR,019/080,水,600,600,600
MギャラドスEX,,SR,082/080,水,"3,000","3,000","3,000"
ギャラドスEX,,UR,089/080,水,"4,000","4,000","4,000"
ギャラドスEX,,SR,081/080,水,"2,500","2,500","2,500"
ゲンシカイオーガEX,,UR,093/081,水,"4,500","4,500","4,500"
ゲンシカイオーガEX,,SR,073/070,水,"4,000","4,000","4,000"
アクア団のカイオーガEX,,RR,006/034,水,"2,500","2,500","2,500"
MラグラージEX,,P,XY-P,水,700,700,700
カメックス,,UR,078/070,水,"10,000","10,000","10,000"
アローラサンド,,P,077/SM-P,水,300,300,300
キングドラGX,,HR,061/053,水,600,600,600
キングドラGX,,SR,055/053,水,150,150,150
アローラキュウコンGX,,SR,053/050,妖,200,200,200
アローラキュウコンGX,,HR,059/050,妖,"1,200","1,200","1,200"
フリーザーGX,,HR,078/066,水,"3,000","3,000","3,300"
フリーザーGX,,SR,067/066,水,800,800,800
ゲッコウガGX,,HR,103/094,水,"1,800","1,800","1,800"
ゲッコウガGX,,SR,095/094,水,300,400,400
ホワイトキュレムGX,,HR,063/053,竜,"1,000","1,000","1,000"
ホワイトキュレムGX,,SR,057/053,竜,200,200,200
スイクンGX,,SR,098/095,水,800,800,800
スイクンGX,,HR,106/095,水,"3,200","3,200","3,200"
キングドラGX,,RR,014/053,水,50,50,50
アローラキュウコン,,-,089/150,妖,10,10,10
アローラキュウコン,ミラー,-,089/150,妖,30,30,30
フリーザーGX,,RR,014/066,水,150,150,150
ゲッコウガGX,,RR,020/094,水,10,10,10
ゲッコウガGX,,RR,033/150,水,10,10,10
ホワイトキュレムGX,,RR,035/053,竜,30,30,30
スイクンGX,,RR,028/095,水,10,10,10
ギャラドスGX,,RR,008/050,水,100,100,100
ラプラスGX,,RR,016/060,水,30,30,30
アローラロコン,,P,052/SM-P,水,300,300,300
アローラロコン,,P,023/SM-P,水,30,30,30
アローラロコン,,P,293/SM-P,水,100,100,100
アローラキュウコンGX,,RR,013/050,水,50,50,50
カプ・レヒレGX,,RR,027/114,水,50,50,50
カプ・レヒレGX,,RR,018/049,水,50,50,50
アシマリ,,P,064/SM-P,水,50,50,50
ゲンシカイオーガEX,,RR,032/070,水,50,50,50
ガマゲロゲEX,,RR,020/096,水,30,30,30
ガマゲロゲEX,,-,010/049,水,30,30,30
ガマゲロゲEX,,-,022/171,水,30,30,30
ガマゲロゲEX,,-,030/131,水,30,30,30
ゲッコウガBREAK,,RR,030/080,水,10,10,10
ゲッコウガBREAK,,-,028/171,水,10,10,10
テッポウオ,,C,017/059,水,30,30,30
テッポウオ,,-,018/171,水,10,10,10
テッポウオ,ミラー,-,018/171,水,30,30,30
ホエルオーEX,,RR,017/070,水,30,30,30
MヤドランEX,,P,263/XY-P,水,150,150,150
ヤドランEX,,P,262/XY-P,水,150,150,150
ギャラドスEX,,RR,018/080,水,200,200,200
ゲンシカイオーガEX,,RR,032/070,水,50,50,50
ゲンシカイオーガEX,,-,009/049,水,50,50,50
ラグラージEX,,P,137/XY-P,水,50,50,50
カメックス,,R,003/018,水,100,100,100
カメックス,,-,003/019,水,100,100,100
カメックス,,R,014/059,水,100,100,100
ライチュウGX,,HR,079/072,雷,"4,200","4,200","4,200"
ライチュウGX,,SR,074/072,雷,"1,200","1,200","1,200"
カプ・コケコGX,,HR,058/050,雷,"2,200","2,200","2,200"
カプ・コケコGX,,SR,053/050,雷,700,700,700
クワガノンGX,,HR,062/051,雷,800,800,800
クワガノンGX,,SR,055/051,雷,200,200,200
デンジュモクGX,,HR,122/114,雷,100,100,100
デンジュモクGX,,SR,116/114,雷,100,100,100
サンダースEX,SR仕様,-,173/171,雷,"1,800","1,800","1,800"
ライボルトEX,,SR,089/088,雷,500,500,500
アローラゴローニャGX,,HR,056/050,雷,600,600,600
アローラゴローニャGX,,SR,051/050,雷,300,300,300
MライボルトEX,,UR,096/088,雷,500,500,500
カプ・コケコGX,,P,048/SM-P,雷,800,800,800
ゼクロムGX,,P,238/SM-P,雷,"1,300","1,300","1,300"
ゼラオラGX,,HR,069/060,雷,900,900,"1,100"
ゼラオラGX,,SR,063/060,雷,100,100,100
マルマインGX,,HR,079/066,雷,"1,300","1,300","1,300"
マルマインGX,,SR,068/066,雷,400,400,400
デンリュウGX,,SR,053/052,雷,50,50,50
デンリュウGX,,HR,059/052,雷,250,250,250
マルマインGX,,RR,022/066,雷,250,250,250
ゼラオラ,,P,241/SM-P,雷,600,600,600
デデンネ,,P,215/SM-P,雷,200,200,200
ジバコイル,,R,025/070,雷,100,100,100
ライチュウGX,,RR,030/072,雷,50,50,50
カプ・コケコ,,P,127/SM-P,雷,150,150,150
カプ・コケコ,,P,154/SM-P,雷,10,10,10
カプ・コケコ◇,,PR,014/052,雷,50,50,50
カプ・コケコ◇,,PR,049/173,雷,50,50,50
カプ・コケコGX,,RR,022/050,雷,10,10,10
カプ・コケコGX,,RR,032/114,雷,10,10,10
トゲデマル,,P,024/SM-P,雷,250,250,250
トゲデマル,,P,039/SM-P,雷,250,250,250
アローラゴローニャGX,,RR,018/050,雷,30,30,30
サンダースEX,,-,032/171,雷,150,150,150
サンダースEX,,P,195/XY-P,雷,300,300,300
MライボルトEX,SR仕様,-,174/171,雷,400,400,400
MライボルトEX,,-,043/131,雷,30,30,30
エーフィGX,,HR,068/060,超,"7,500","7,500","7,500"
エーフィGX,,SR,062/060,超,"3,500","3,500","3,500"
エーフィGX,,RR,024/060,超,200,200,200
エーフィGX,,P,124/SM-P,超,"10,000","10,000","10,000"
カプ・テテフ,,P,152/SM-P,超,"2,000","2,000","2,000"
カプ・テテフGX,,HR,057/050,超,"4,500","4,500","4,500"
カプ・テテフGX,,SR,052/050,超,"1,300","1,500","1,500"
コスモッグ,,P,081/SM-P,超,800,"1,000","1,000"
ルナアーラGX,,UR,124/114,超,"2,500","2,500","2,500"
ルナアーラGX,,HR,068/060,超,"1,300","1,300","1,300"
ルナアーラGX,,SR,062/060,超,800,800,800
ウツロイドGX,,HR,057/050,超,800,800,800
ウツロイドGX,,SR,052/050,超,300,300,300
ネクロズマGX,,HR,059/051,超,800,800,800
ネクロズマGX,,SR,053/051,超,200,200,200
マーシャドー,,P,123/SM-P,超,400,400,400
マーシャドー,,P,155/SM-P,超,400,400,400
ミミッキュ,,P,009/SM-P,超,"3,000","3,000","3,000"
ロケット団のミミッキュGX,RR仕様,-,010/026,超,"2,200","2,200","2,200"
ドヒドイデGX,,HR,063/051,超,400,400,400
ドヒドイデGX,,SR,056/051,超,200,200,200
エーフィEX,,SR,084/080,超,"3,000","3,000","3,000"
エルレイドEX,,SR,080/078,超,600,600,600
MエルレイドEX,,SR,081/078,超,"1,200","1,200","1,200"
ギラティナ,SR仕様,-,002/016,超,"1,000","1,000","1,000"
ゲンガーEX,,SR,090/088,超,"5,500","5,500","5,500"
MゲンガーEX,,UR,097/088,超,"3,500","3,500","3,500"
ダストダス,,UR,056/051,超,"3,500","3,500","3,500"
フーディンEX,,UR,088/078,超,"2,000","2,000","2,000"
フーディンEX,,SR,080/078,超,"1,500","1,500","1,500"
MフーディンEX,,SR,081/078,超,"1,500","1,500","1,500"
フーパEX,,SR,087/081,超,"1,300","1,300","1,300"
ヨノワール,,UR,085/076,超,"1,300","1,300","1,300"
ジラーチ,,P,089/SM-P,超,"3,500","3,500","3,500"
バリヤードGX,,HR,080/066,超,700,700,700
バリヤードGX,,SR,069/066,超,300,300,300
ネクロズマあかつきのつばさGX,,HR,074/066,超,700,700,700
ネクロズマあかつきのつばさGX,,SR,068/066,超,100,100,100
ネクロズマたそがれのたてがみGX,,HR,074/066,鋼,800,800,800
ネクロズマたそがれのたてがみGX,,SR,068/066,鋼,200,200,200
ウルトラネクロズマGX,,HR,107/094,竜,"1,300","1,300","1,300"
ウルトラネクロズマGX,,SR,099/094,竜,300,300,300
アーゴヨンGX,,HR,058/050,超,300,300,300
アーゴヨンGX,,SR,052/050,超,50,50,50
ジュペッタGX,,HR,081/066,超,600,600,600
ジュペッタGX,,SR,070/066,超,300,300,300
シンボラーGX,,SR,052/050,超,50,50,50
シンボラーGX,,HR,058/050,超,100,100,100
ミミッキュGX,,SR,054/050,妖,300,300,300
ミミッキュGX,,HR,060/050,妖,"2,500","2,500","2,500"
バリヤードGX,,RR,025/066,超,100,100,100
バリヤードGX,,P,231/SM-P,超,50,50,50
ルナアーラGX,RR仕様,-,005/021,超,50,50,50
ソルガレオGX,RR仕様,-,007/021,鋼,100,100,100
ウルトラネクロズマ,,P,236/SM-P,竜,"6,000","6,000","6,000"
ウルトラネクロズマGX,,RR,069/094,竜,10,10,10
マーイーカ,,P,261/SM-P,超,200,200,200
ベベノム,,P,202/SM-P,超,50,50,50
ベベノム,,P,203/SM-P,超,50,50,50
ベベノム,,P,267/SM-P,超,100,100,100
アーゴヨンGX,,RR,023/050,超,10,10,10
ジュペッタGX,,RR,031/066,超,10,10,10
ミミッキュ,,P,198/SM-P,妖,"3,000","3,000","3,000"
ミミッキュ,未開封,P,198/SM-P,妖,"10,000","10,000","10,000"
マーシャドー＆カイリキーGX,,RR,067/173,超,10,10,10
ミミッキュGX,,RR,038/050,妖,30,30,30
ヨノワール,,R,026/059,超,100,100,100
デスカーン,,R,027/051,超,50,50,50
ヤブクロン,ミラー,-,049/171,超,250,250,250
カプ・テテフ,ミラー,-,026/049,超,10,10,10
カプ・テテフGX,,RR,022/050,超,30,30,30
カプ・テテフGX,,RR,045/114,超,30,30,30
カプ・テテフGX,,RR,044/150,超,30,30,30
カプ・テテフGX,RR仕様,-,010/035,超,30,30,30
カプ・テテフGX,ノーマル仕様,-,001/029,超,10,10,10
カプ・テテフGX,ノーマル仕様,-,008/031,超,10,10,10
ネクロズマGX,,P,220/SM-P,超,"2,000","2,000","2,000"
ミミッキュ,,P,264/SM-P,超,300,300,300
ウツロイドGX,,RR,022/050,超,100,100,100
ミミッキュ,,P,294/SM-P,超,30,30,30
ダダリン,,P,042/SM-P,超,50,50,50
エーフィEX,,RR,035/080,超,300,300,300
エーフィEX,,-,045/171,超,300,300,300
エルレイドEX,,P,084/XY-P,超,10,10,10
MエルレイドEX,,RR,031/078,超,10,10,10
オーロットBREAK,,RR,047/080,超,10,10,10
オーロットBREAK,,-,055/171,超,10,10,10
ギラティナ,,P,284/XY-P,超,10,10,10
クロバットBREAK,,P,XY-P,超,100,100,100
シャンデラEX,,-,061/093,超,10,10,10
ソーナンス,,-,047/171,超,30,30,30
ソーナンス,,C,035/088,超,30,30,30
ソーナンス,ミラー,-,047/171,超,30,30,30
ソーナンス,ミラー,-,054/131,超,30,30,30
ソーナンス,ポケキュン仕様,C,013/032,超,50,50,50
ダストダス,,R,040/080,超,150,150,150
ダストダス,,-,050/171,超,50,50,50
ダストダス,ミラー,-,050/171,超,150,150,150
ダストダス,,R,028/050,超,150,150,150
ダストダス,,-,054/093,超,200,200,200
ダストダス,ミラー,-,054/093,超,300,300,300
MフーディンEX,,-,041/171,超,10,10,10
MフーディンEX,,RR,024/078,超,10,10,10
ボクレー,ミラー,-,053/171,超,50,50,50
ヤブクロン,,C,039/080,超,150,150,150
ヤブクロン,,-,049/171,超,150,150,150
カイリキーGX,,HR,061/049,闘,"1,500","1,500","1,500"
カイリキーGX,,SR,053/049,闘,500,500,600
ルガルガンGX,,HR,058/050,闘,700,700,700
ルガルガンGX,,SR,053/050,闘,500,500,500
ルガルガンGX,,HR,062/049,闘,800,800,800
ルガルガンGX,,SR,054/049,闘,700,700,700
マッシブーンGX,,HR,057/050,闘,"1,000","1,000","1,000"
マッシブーンGX,,SR,052/050,闘,100,100,100
マケンカニ,,P,026/SM-P,闘,"1,500","1,500","1,500"
ゲンシグラードンEX,,UR,094/081,闘,"4,000","4,000","4,000"
ゲンシグラードンEX,,SR,074/070,闘,"4,000","4,000","4,000"
グラードンEX,,SR,073/070,闘,"3,000","3,000","3,000"
グラードンEX,,R,032/052,闘,100,100,100
グラードンEX,,SR,054/052,闘,"4,500","4,500","4,500"
マグマ団のグラードンEX,,RR,015/034,闘,"2,500","2,500","2,500"
ジガルデEX,,-,177/171,闘,900,900,900
ルカリオEX,,SR,099/096,闘,"1,400","1,400","1,400"
ルカリオEX,,P,066/XY-P,闘,100,100,100
MルカリオEX,,UR,105/096,闘,"1,500","1,500","1,500"
MルカリオEX,,-,176/171,闘,"1,800","1,800","1,800"
レジロック,,-,104/XY-P,闘,"1,500","1,500","1,500"
マーシャドーGX,,HR,060/051,闘,800,800,800
マーシャドーGX,,SR,054/051,闘,150,150,150
ルカリオGX,,HR,059/050,闘,"1,500","1,500","1,500"
ルカリオGX,,SR,053/050,闘,400,400,400
ジガルデGX,,HR,104/094,闘,700,700,700
ジガルデGX,,SR,096/094,闘,300,300,400
アローラガラガラGX,,P,252/SM-P,炎,100,100,100
イワンコ,,P,150/SM-P,闘,10,10,10
ルガルガン,,P,221/SM-P,闘,700,700,700
ルカリオGX,,RR,030/050,闘,30,30,30
ジガルデGX,,RR,050/094,闘,10,10,10
ジガルデGX,,P,216/SM-P,闘,100,100,100
メレシー,,P,212/SM-P,闘,100,100,100
イワンコ,,P,021/SM-P,闘,10,10,10
マッシブーンGX,,RR,030/050,闘,10,10,10
シロデスナGX,,P,104/SM-P,闘,30,30,30
ゲンシグラードンEX,,-,073/131,闘,150,150,150
ゲンシグラードンEX,,-,017/049,闘,150,150,150
ゲンシグラードンEX,,RR,040/070,闘,150,150,150
グラードンEX,,RR,039/070,闘,30,30,30
グラードンEX,,-,016/049,闘,30,30,30
グラードンEX,,-,072/131,闘,30,30,30
グラードンEX,,P,153/XY-P,闘,150,150,150
レジロックEX,SR仕様,-,175/171,闘,200,200,200
マーシャドーGX,,RR,033/051,闘,10,10,10
マーシャドーGX,,P,116/SM-P,闘,300,300,300
ブラッキーGX,,HR,069/060,悪,"9,000","9,000","9,000"
ブラッキーGX,,SR,063/060,悪,"2,000","2,000","2,000"
ブラッキーGX,,RR,037/060,悪,300,300,300
ブラッキーGX,,P,125/SM-P,悪,"13,000","13,000","13,000"
ブラッキーEX,,SR,082/078,悪,"8,000","8,000","8,000"
ゾロアークGX,,HR,081/072,悪,"5,000","5,000","5,000"
ゾロアークGX,,SR,076/072,悪,"1,500","1,500","1,500"
ダークライGX,,HR,063/049,悪,"4,500","4,500","4,500"
ダークライGX,,SR,055/049,悪,"1,500","1,500","1,500"
アクジキングGX,,HR,058/050,悪,900,900,900
